id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,47719,ORANG,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,1290897,ORANG,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49138,ORANG,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,443795,ORANG,2014
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,6421,ORANG,2014
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,166601,ORANG,2014
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,77200,ORANG,2014
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,3965258,ORANG,2014
9,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,29158,ORANG,2014
10,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,13583,ORANG,2014
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1457,ORANG,2014
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,116601,ORANG,2014
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,3505,ORANG,2014
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,70071,ORANG,2014
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,194,ORANG,2014
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,174887,ORANG,2014
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,1588,ORANG,2014
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,130796,ORANG,2014
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2014
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,73773,ORANG,2014
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,2001,ORANG,2014
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,48834,ORANG,2014
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,251,ORANG,2014
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,41457,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,11709,ORANG,2014
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,343296,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,2958,ORANG,2014
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,121788,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,17016,ORANG,2014
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,126226,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,63246,ORANG,2014
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,186990,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,481114,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,142673,ORANG,2014
